               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11785,             0.19454,                   0,           0.0031003,            0.024793,           0.0005651,           5.651e-05,             0.12426,             0.18537,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11398,             0.18416,                   0,           0.0026828,            0.024793,          0.00090457,          0.00014221,             0.11956,             0.17938,                   0,           0.0010782,           0.0010782,            0.090078
                   2,             0.10749,             0.19595,                   0,            0.017444,            0.016529,           0.0015676,          0.00021733,              0.1097,             0.20077,                   0,           0.0016327,           0.0016327,            0.084633
                   3,             0.10135,             0.21119,                   0,            0.018003,            0.033058,           0.0030268,          0.00042134,            0.095607,             0.24078,                   0,           0.0021634,           0.0021634,            0.079163
                   4,            0.095959,             0.22354,                   0,            0.012498,             0.27273,           0.0078873,           0.0013801,            0.090403,              0.2523,                   0,           0.0026703,           0.0026703,             0.07367
                   5,            0.090395,             0.22208,                   0,            0.036857,              0.2562,            0.023036,           0.0043745,            0.087986,             0.25922,                   0,           0.0031535,           0.0031535,            0.068154
                   6,            0.086037,               0.219,                   0,            0.074884,             0.15702,             0.03915,           0.0070181,            0.084373,             0.29346,                   0,           0.0036129,           0.0036129,            0.062613
                   7,            0.082574,             0.21061,                   0,            0.097769,             0.12397,            0.040452,           0.0077608,            0.083865,             0.28193,                   0,           0.0040486,           0.0040486,            0.057049
                   8,            0.081522,             0.21644,                   0,            0.047192,             0.27273,            0.029359,           0.0063343,            0.085492,             0.28609,                   0,           0.0044605,           0.0044605,             0.05146
                   9,            0.085132,             0.19447,                   0,             0.02749,             0.14876,            0.016866,           0.0033367,            0.095252,             0.22925,                   0,           0.0048486,           0.0048486,            0.045849
                  10,            0.082498,             0.19543,                   0,             0.12556,              0.2562,            0.073513,            0.017416,            0.079454,             0.26059,                   0,            0.005213,            0.005213,            0.040213
                  11,            0.076879,             0.20494,                   0,            0.045099,             0.23967,            0.021104,           0.0031274,             0.10421,              0.3674,                   0,           0.0055536,           0.0055536,            0.034554
                  12,             0.10031,             0.17698,                   0,            0.013102,            0.066116,           0.0047169,          0.00047169,             0.10908,             0.17495,                   0,           0.0058705,           0.0058705,             0.02887
                  13,            0.098156,             0.18893,                   0,            0.074932,             0.35537,             0.05079,           0.0083308,            0.083665,             0.25278,                   0,           0.0061636,           0.0061636,            0.023164
                  14,            0.089175,             0.21212,                   0,              0.1314,              0.2562,            0.069043,            0.011627,            0.078892,             0.26959,                   0,           0.0064329,           0.0064329,            0.017433
                  15,            0.077948,             0.23444,                   0,             0.14067,             0.27273,              0.0679,           0.0095561,            0.088346,             0.28866,                   0,           0.0066785,           0.0066785,            0.011678
                  16,              0.0771,             0.22587,                   0,             0.16439,             0.35283,             0.12112,            0.014235,            0.083784,             0.22962,                   0,            0.006832,            0.006832,            0.006832
                  17,            0.082304,             0.19977,                   0,            0.056743,             0.13175,            0.029468,           0.0042114,             0.09045,             0.20977,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.078835,             0.19487,                   0,             0.28463,             0.19008,             0.15131,            0.026847,             0.08138,             0.35876,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.076903,             0.19232,                   0,            0.025701,             0.44628,            0.018012,           0.0037499,            0.087627,             0.22852,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.076896,             0.18242,                   0,            0.045666,              0.5124,            0.037716,           0.0072194,            0.084071,             0.25991,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.080996,             0.19281,                   0,            0.040199,             0.46281,             0.03111,           0.0064208,            0.078288,             0.23166,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.071098,             0.19693,                   0,             0.36553,             0.46281,             0.29641,            0.060909,            0.077409,             0.41103,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.071018,             0.19374,                   0,            0.051988,             0.50413,            0.042939,           0.0071438,            0.073555,             0.25519,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.066826,             0.20041,                   0,             0.16615,             0.33884,             0.11965,            0.024604,             0.06571,             0.25595,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.067979,             0.19557,                   0,             0.16343,             0.31405,              0.1277,            0.026812,            0.071759,             0.23651,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.06961,             0.18854,                   0,             0.17207,             0.38017,             0.14042,             0.02789,            0.064218,             0.23946,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.066645,             0.19203,                   0,            0.075191,             0.40496,            0.064574,            0.011549,            0.075945,              0.2241,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.065166,             0.19013,                   0,             0.26404,             0.41322,             0.21891,             0.03873,            0.064871,             0.23403,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.063241,             0.19389,                   0,             0.19103,             0.32201,             0.13304,            0.026804,            0.074139,             0.22086,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.061302,             0.19088,                   0,             0.30187,             0.34711,             0.22232,             0.05183,            0.064386,             0.22879,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.064455,             0.18287,                   0,            0.026168,             0.15702,            0.017641,           0.0028396,            0.091118,             0.19117,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.064318,             0.18625,                   0,             0.49425,             0.42149,             0.35171,            0.075762,            0.057004,             0.23315,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.059681,             0.19719,                   0,             0.36059,             0.32231,             0.22512,            0.051433,            0.067042,              0.2215,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.057196,             0.19297,                   0,             0.32764,             0.33884,             0.23334,            0.042716,            0.065153,             0.22518,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.056095,             0.19759,                   0,             0.48019,             0.40496,             0.34914,            0.080705,            0.053914,             0.23403,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.056591,             0.19354,                   0,             0.45567,             0.38843,             0.31238,            0.082389,            0.052322,             0.23543,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.057929,             0.19461,                   0,             0.41021,             0.38017,             0.28844,            0.065791,             0.05778,             0.22996,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.055404,             0.19169,                   0,             0.39573,              0.4876,             0.33687,            0.096884,            0.051529,             0.23612,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.054014,              0.1944,                   0,             0.42895,             0.42975,             0.31978,            0.094485,            0.051971,              0.2367,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.055888,             0.19069,                   0,             0.44106,             0.43802,             0.31528,            0.092462,            0.052425,             0.23753,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.055457,             0.19484,                   0,             0.37223,             0.42149,             0.27717,            0.070422,            0.056421,              0.2355,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.056421,             0.18911,                   0,             0.36868,              0.3719,             0.25095,            0.059452,            0.057592,             0.23606,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.057264,             0.19065,                   0,             0.42264,             0.42975,             0.28978,            0.079042,            0.053793,             0.23991,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.055696,              0.1942,                   0,               0.425,             0.45205,             0.29619,            0.084339,            0.053732,             0.24243,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.055133,             0.20014,                   0,             0.42141,             0.43802,             0.30234,            0.084958,            0.053803,             0.24285,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.053903,             0.19464,                   0,             0.45953,              0.4708,             0.33415,            0.091602,            0.052728,             0.24215,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.05257,              0.1913,                   0,             0.46017,             0.47934,             0.34079,            0.092905,            0.052653,             0.24127,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.052448,             0.19588,                   0,             0.45889,             0.46258,             0.33158,            0.092606,            0.052805,             0.23992,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.053369,             0.19666,                   0,             0.45507,             0.46281,             0.32777,            0.091472,            0.053492,             0.23836,                   0,            0.000496,            0.000496,            0.000496
